date,organization,organization_id,org_type,category,quantity,unit,storage_condition,perishability_hours,urgency,is_event_day,day_of_week,month,is_weekend,is_simulated
2025-01-01,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,139.64,kg,REFRIGERATED,9.9,MEDIUM,True,Wednesday,1,False,True
2025-01-01,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,13.66,kg,REFRIGERATED,8.0,LOW,True,Wednesday,1,False,True
2025-01-01,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Cooked Meals,140.62,kg,REFRIGERATED,10.4,HIGH,True,Wednesday,1,False,True
2025-01-01,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,41.48,kg,REFRIGERATED,4.8,HIGH,True,Wednesday,1,False,True
2025-01-01,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,35.44,kg,AMBIENT,35.4,MEDIUM,True,Wednesday,1,False,True
2025-01-01,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,111.93,kg,AMBIENT,31.1,MEDIUM,True,Wednesday,1,False,True
2025-01-02,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,195.09,kg,REFRIGERATED,7.0,MEDIUM,True,Thursday,1,False,True
2025-01-02,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,29.3,kg,REFRIGERATED,6.1,CRITICAL,True,Thursday,1,False,True
2025-01-02,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,62.21,kg,REFRIGERATED,11.4,HIGH,True,Thursday,1,False,True
2025-01-02,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,48.92,kg,AMBIENT,17.5,LOW,True,Thursday,1,False,True
2025-01-02,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,11.76,kg,AMBIENT,17.1,MEDIUM,True,Thursday,1,False,True
2025-01-03,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,51.46,kg,AMBIENT,37.8,MEDIUM,True,Friday,1,False,True
2025-01-03,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,44.95,kg,AMBIENT,24.2,LOW,True,Friday,1,False,True
2025-01-03,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Food Surplus,190.57,kg,AMBIENT,35.2,MEDIUM,True,Friday,1,False,True
2025-01-03,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,130.2,kg,AMBIENT,58.6,MEDIUM,True,Friday,1,False,True
2025-01-03,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,38.99,kg,AMBIENT,19.0,LOW,True,Friday,1,False,True
2025-01-03,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,142.83,kg,AMBIENT,44.5,HIGH,True,Friday,1,False,True
2025-01-04,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,70.82,kg,REFRIGERATED,8.3,HIGH,True,Saturday,1,True,True
